Product_brand,Product_category,Product_details,Product_name,Product_price,Product_rating,Product_size,Top_category,Tot_reviews
MAC,Eyes,"Long, full, natural-looking. Lashes are handmade to exact specifications.",3 Lash,$17.00,4.00 out of 5 stars,Item 2511603,Makeup,8
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Tapered Lashes + Glue #ELT01! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Tapered Lashes + Glue #ELT01,$4.49,,Item 2546294,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL99! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL99,$3.99,5.00 out of 5 stars,Item 2546297,Makeup,1
Physicians Formula,Eyes,"Physicians Formula Organic Wear Fake Out Mascara is a high-performing, buildable mascara that lengthens, curls, and magnifies lashes for ultimate definition.",Organic Wear Fake Out Mascara In Black,$10.49,,Item 2559293,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL747L! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL747L,$3.99,,Item 2546271,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Tapered Lashes + Glue #ELT43! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Tapered Lashes + Glue #ELT43,$4.49,3.00 out of 5 stars,Item 2546284,Makeup,1
Catrice,Eyes,Out of this world pigments! Catrice Precious Pigments Loose Eyeshadow with highly concentrated pure pigments.,Online Only Precious Pigments Loose Eyeshadow,$2.97,,Size 0.06 oz,Makeup,
L.A. Girl,Eyes,L.A. Girl Eye Lux Eyeshadows can be used to contour and highlight to create the perfect look for any occasion.,Online Only Eye Lux Eyeshadow,$5.99,,Size 0.18 oz,Makeup,
FLOWER Beauty,Lips,"FLOWER Beauty's Galaxy Glaze Holographic Liquid Lip Color creates subtle reflections on your lips, giving it a rainbow effect. Use alone for a otherworldly sheen or layer on top of another color to create a new prismatic hue.",Galaxy Glaze Holographic Liquid Lip Color,$9.99,4.40 out of 5 stars,Size 0.16 oz,Makeup,29
J.Cat Beauty,Lips,"J.Cat Beauty's Soft Matte Lip Cooler is a revolutionary must-have long-wear soft matte lip cooler that delivers intense color with mint fragrance in a silky finish for all day wear. The long wearing formula goes on with creamy, smooth high pigment and sets to a matte finish. Free of phthalate, triclosan, GMOs, and sulfate.",Online Only Soft Matte Lip Cooler,$5.99,2.60 out of 5 stars,Size 0.42 oz,Makeup,13
Lipstick Queen,Lips,"Get kissed by the moon and travel to intergalactic gorgeousness with Ice Queen, a shimmering white lipstick flecked with silver and gold that works like an illuminator for your lips. Whilst tinting your lips a sparkling and translucent snowy white, Ice Queen brings an ethereal beauty to your look and yet is still transparent enough to allow the natural pink of your lips to shine through.",Ice Queen Lipstick,$16.97,4.10 out of 5 stars,Size 0.12 oz,Makeup,45
TONYMOLY,Lips,"This too-cute-for-words Mini Green Apple Lip Balm from TonyMoly is not only adorable but also extremely hydrating and soothing. The lightweight and creamy formula melts into lips for long lasting moisture leaving lips happy and hydrated. Oh, and it smells delicious just like Green Apple, you won't regret it!",Mini Green Apple Lip Balm,$10.00,,Size 0.3 oz,Makeup,
L.A. Girl,Lips,"Fuel your sparkle addiction with L.A. Girl's glitterholic glitter Lip Toppers. Multi-dimensional formula instanly adds glitter for any occasion. Use alone or over eyeshadow. From subtle shine to full glam, easily am up any look!",Lip Topper,$5.99,,Size 0.04 oz,Makeup,
Winky Lux,Lips,"Supercharged with potent peptides, the Winky Lux In The Stars Lip Oil keeps lips hydrated and nourished with avocado, sunflower and jojoba oils. Featuring tiny stars for that little something extra, just one swipe of this high shine oil gives dry lips a dose of antioxidant-rich, glossy goodness.",Online Only In The Stars Lip Oil,$18.00,,Size 0.13 oz,Makeup,
Essence,Lips,"Pucker up! The creamy, smooth Essence Stay 8H Waterproof Lipliner create a perfectly defined pout. The waterproof texture is long lasting with 8 hour wear.",Stay 8H Waterproof Lipliner,$2.99,,Item 2558569,Makeup,
